sku,post_title,post_status,comment_status,regular_price,stock_status,tax_status,tax:product_type,tax:product_cat,attribute:pa_material,attribute:pa_shape,attribute:pa_style,
R28359GW18DD001,Eternity Chain diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R28360GC18DD001,Eternity Chain diamond ring in two-tone 18k  gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
Z35529KA14DD001,Eternity diamond ring in two-tone 18k  gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
E28360GC18DD001,Chain huggie diamond ring in two-tone 18k gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E28361GC18DD001,Chain diamond stud earrings in two-tone 18k gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E28362KP18DD001,Chain diamond stud earrings in 18k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E28368GC18DD001,Baguette diamond huggie earring in 18k white gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E28369GC18DD001,Baguette diamond drop huggie earring in 18k white gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E28371KP18DD001,Baguette diamond huggie earring in 18k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,Round | Baguettes,Circle|Geometric,
E28372GC18DD001,Baguette diamond stud earring in 18k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,Round,Circle|Geometric,
E28375KP18PA001,Pearl diamond drop earrings in 18k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond | Amethyst,Round,Circle|Geometric,
E28377KP18DD001,Diamond huggie earrings in 18k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond | Akoya Pearl,Round,Circle|Geometric,
E28381GC18DD001,Geometric diamond stud earrings in two-tone 18k gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,Round,Circle|Geometric,
E28388GC18DD001,Diamond earrings in two-tone 18k gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E28390GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E35539KP14V01001,Enamel pink sapphire diamond earrings in 14k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E35540KP14V01001,Enamel amethyst diamond earrings in 14k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E35542KP14V01001,Enamel diamond earrings in 14k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
E35543KP14V01001,Enamel diamond earrings in 14k rose gold,draft,closed,5000,instock,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,,
N28383GC18DD001,Triangle bar diamond ring in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
N28384GC18DD001,Love heart bar diamond ring in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28361GC18DD001,Chain diamond necklace in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28368GC18DD001,Diamond necklace in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28369GC18DD001,Baugette diamond pendant necklace in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28372GC18DD001,Baugette diamond pendant necklace in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28362KP18DD001,Baugette diamond pendant necklace in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
PA28378KY18DD001,Cresecent diamond necklace in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
R28373KP18V01001,Multi-colour Sapphire Diamond Ring in 18K rose gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,Round,Circle|Geometric,
R33525KW14DD001,Halo Diamond Ring in 18k white gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
P28390GW18DD001,Diamond Necklace in 18k White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
R28379GA18DD001,Geometric Diamond Ring in Two-Tone 18k Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35514KW14DD001,Half Eternity Solitaire Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35518KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35520KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35522KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35524KW14DD001,Star Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35528KA14DD001,Two-tone Double Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,,
R35531SVRCZ001 ,Half Eternity Cathedral Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,,
P28376GW18DD001,Open Circle Diamond Necklace in 18K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,Round,
P28377KP18DD001,Open Circle Diamond Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,Circle|Geometric
P28387GC18DD001,Diamond Necklace in Two-tone 18k  Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28389GW18DD001,Diamond Necklace in 18k White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
R28375KP18PA001,,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,Round,Circle|Geometric,
